generation,set_name,card_name,pokemon_id,pokemon_name,card_number,set_size,price,rarity,img,update
Schwert & Schild,Zenit der Könige,Zwirrlicht,355,0355 Zwirrlicht,GG28,GG28,3.18,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG28_Zwirrlicht.png,26.10.2025
Schwert & Schild,Zenit der Könige,Wablu,333,0333 Wablu,GG27,GG27,3.0,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG27_Wablu.png,26.10.2025
Schwert & Schild,Zenit der Könige,Riolu,447,0447 Riolu,GG26,GG26,4.9,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG26_Riolu.png,26.10.2025
Schwert & Schild,Zenit der Könige,Bidifas,400,0400 Bidifas,GG25,GG25,2.0,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG25_Bidifas.png,26.10.2025
Schwert & Schild,Zenit der Könige,Miltank,241,0241 Miltank,GG24,GG24,3.99,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG24_Miltank.png,26.10.2025
Schwert & Schild,Zenit der Könige,Dummisel,206,0206 Dummisel,GG23,GG23,1.4,Trainer Gallery Rare Holo,./img/ZenitderKönige_GG23_Dummisel.png,26.10.2025
Schwert & Schild,Zenit der Könige,Pikachu,25,0025 Pikachu,160,159,24.00,Secret Rare,./img/ZenitderKönige_160_Pikachu.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Heiteira V,242,0242 Heiteira,TG22,TG22,8.99,Rare Holo V,./img/SilberneSturmwinde_TG22_Heiteira V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Duraludon VMAX,884,0884 Duraludon,TG21,TG21,7.79,Rare Holo VMAX,./img/SilberneSturmwinde_TG21_Duraludon VMAX.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Krarmor V,823,0823 Krarmor,TG18,TG18,6.75,Rare Holo V,./img/SilberneSturmwinde_TG18_Krarmor V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Flunkifer V,303,0303 Flunkifer,TG17,TG17,7.5,Rare Holo V,./img/SilberneSturmwinde_TG17_Flunkifer V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Lohgock V,257,0257 Lohgock,TG14,TG14,13.9,Rare Holo V,./img/SilberneSturmwinde_TG14_Lohgock V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Serpiroyal V,497,0497 Serpiroyal,TG13,TG13,15.75,Rare Holo V,./img/SilberneSturmwinde_TG13_Serpiroyal V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Zirpeise V,402,0402 Zirpeise,TG12,TG12,4.15,Rare Holo V,./img/SilberneSturmwinde_TG12_Zirpeise V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Altaria,334,0334 Altaria,TG11,TG11,3.5,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG11_Altaria.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Farbeagle,235,0235 Farbeagle,TG10,TG10,1.4,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG10_Farbeagle.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Shardrago,621,0621 Shardrago,TG09,TG09,2.0,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG09_Shardrago.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Quartermak,766,0766 Quartermak,TG08,TG08,0.67,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG08_Quartermak.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Wuffels,744,0744 Wuffels,TG07,TG07,2.0,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG07_Wuffels.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Calamanero,687,0687 Calamanero,TG06,TG06,0.8,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG06_Calamanero.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Guardevoir,282,0282 Guardevoir,TG05,TG05,4.45,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG05_Guardevoir.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Rossana,124,0124 Rossana,TG04,TG04,1.15,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG04_Rossana.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Waaty,180,0180 Waaty,TG03,TG03,2.1,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG03_Waaty.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Milotic,350,0350 Milotic,TG02,TG02,4.0,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG02_Milotic.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Rutena,654,0654 Rutena,TG01,TG01,2.44,Trainer Gallery Rare Holo,./img/SilberneSturmwinde_TG01_Rutena.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Lugia V,249,0249 Lugia,186,186,250.0,Rare Ultra,./img/SilberneSturmwinde_186_Lugia V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Regidrago V,895,0895 Regidrago,184,184,16.0,Rare Ultra,./img/SilberneSturmwinde_184_Regidrago V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Skuntank V,435,0435 Skuntank,181,181,8.0,Rare Ultra,./img/SilberneSturmwinde_181_Skuntank V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Icognito V,201,0201 Icognito,177,177,16.9,Rare Ultra,./img/SilberneSturmwinde_177_Icognito V.png,26.10.2025
Schwert & Schild,Silberne Sturmwinde,Lugia V,249,0249 Lugia,138,138,9.55,Rare Holo V,./img/SilberneSturmwinde_138_Lugia V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Pikachu V,25,0025 Pikachu,TG16,TG16,43.9,Rare Holo V,./img/VerlorenerUrsprung_TG16_Pikachu V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Infernopod VMAX,851,0851 Infernopod,TG15,TG15,4.8,Rare Holo VMAX,./img/VerlorenerUrsprung_TG15_Infernopod VMAX.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Infernopod V,851,0851 Infernopod,TG14,TG14,3.6,Rare Holo V,./img/VerlorenerUrsprung_TG14_Infernopod V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Maritellit VMAX,826,0826 Maritellit,TG13,TG13,4.29,Rare Holo VMAX,./img/VerlorenerUrsprung_TG13_Maritellit VMAX.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Maritellit V,826,0826 Maritellit,TG12,TG12,4.0,Rare Holo V,./img/VerlorenerUrsprung_TG12_Maritellit V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Formeo,351,0351 Formeo,TG11,TG11,0.85,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG11_Formeo.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Relaxo,143,0143 Relaxo,TG10,TG10,4.5,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG10_Relaxo.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Kryppuk,442,0442 Kryppuk,TG09,TG09,1.0,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG09_Kryppuk.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Hisui-Arkani,59,0059 Arkani,TG08,TG08,1.7,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG08_Hisui-Arkani.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Banette,354,0354 Banette,TG07,TG07,1.0,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG07_Banette.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Gengar,94,0094 Gengar,TG06,TG06,15.49,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG06_Gengar.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Pikachu,25,0025 Pikachu,TG05,TG05,13.8,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG05_Pikachu.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Skelabra,609,0609 Skelabra,TG04,TG04,0.99,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG04_Skelabra.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Glurak,6,0006 Glurak,TG03,TG03,15.0,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG03_Glurak.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Roserade,407,0407 Roserade,TG02,TG02,1.25,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG02_Roserade.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Parasek,46,0046 Paras,TG01,TG01,1.1,Trainer Gallery Rare Holo,./img/VerlorenerUrsprung_TG01_Parasek.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Galar-Mauzinger V,863,0863 Mauzinger,184,184,16.99,Rare Ultra,./img/VerlorenerUrsprung_184_Galar-Mauzinger V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Aerodactyl V,142,0142 Aerodactyl,180,180,115.0,Rare Ultra,./img/VerlorenerUrsprung_180_Aerodactyl V.png,26.10.2025
Schwert & Schild,Verlorener Ursprung,Rotom V,479,0479 Rotom,177,177,18.45,Rare Ultra,./img/VerlorenerUrsprung_177_Rotom V.png,26.10.2025
Schwert & Schild,Pokemon GO,Conkeldurr V,534,0534 Meistagrif,74,74,4.5,Rare Ultra,./img/PokemonGO_74_Conkeldurr V.png,26.10.2025
Schwert & Schild,Pokemon GO,Mewtwo V,150,0150 Mewtu,72,72,40.0,Rare Ultra,./img/PokemonGO_72_Mewtwo V.png,26.10.2025
Schwert & Schild,Pokemon GO,Slaking V,289,0289 Letarking,58,58,0.5,Rare Holo V,./img/PokemonGO_58_Slaking V.png,26.10.2025
Schwert & Schild,Astralglanz,Knakrack V,445,0445 Knakrack,TG23,TG23,57.0,Rare Holo V,./img/Astralglanz_TG23_Knakrack V.png,26.10.2025
Schwert & Schild,Astralglanz,Zamazenta V,889,0889 Zamazenta,TG22,TG22,6.2,Rare Holo V,./img/Astralglanz_TG22_Zamazenta V.png,26.10.2025
Schwert & Schild,Astralglanz,Zacian V,888,0888 Zacian,TG21,TG21,16.9,Rare Holo V,./img/Astralglanz_TG21_Zacian V.png,26.10.2025
Schwert & Schild,Astralglanz,Galar-Lavados V,146,0146 Lavados,TG20,TG20,18.0,Rare Holo V,./img/Astralglanz_TG20_Galar-Lavados V.png,26.10.2025
Schwert & Schild,Astralglanz,Galar-Zapdos V,145,0145 Zapdos,TG19,TG19,11.79,Rare Holo V,./img/Astralglanz_TG19_Galar-Zapdos V.png,26.10.2025
Schwert & Schild,Astralglanz,Rappenreiter-Coronospa VMAX,898,0898 Coronospa,TG18,TG18,8.99,Rare Holo VMAX,./img/Astralglanz_TG18_Rappenreiter-Coronospa VMAX.png,26.10.2025
Schwert & Schild,Astralglanz,Rappenreiter-Coronospa V,898,0898 Coronospa,TG17,TG17,8.5,Rare Holo V,./img/Astralglanz_TG17_Rappenreiter-Coronospa V.png,26.10.2025
Schwert & Schild,Astralglanz,Galar-Arktos V,144,0144 Arktos,TG16,TG16,10.0,Rare Holo V,./img/Astralglanz_TG16_Galar-Arktos V.png,26.10.2025
Schwert & Schild,Astralglanz,Schimmelreiter-Coronospa V,898,0898 Coronospa,TG14,TG14,10.0,Rare Holo V,./img/Astralglanz_TG14_Schimmelreiter-Coronospa V.png,26.10.2025
Schwert & Schild,Astralglanz,Starmie V,121,0121 Starmie,TG13,TG13,74.5,Rare Holo V,./img/Astralglanz_TG13_Starmie V.png,26.10.2025
Schwert & Schild,Astralglanz,Hoothoot,163,0163 Hoothoot,TG12,TG12,2.9,Trainer Gallery Rare Holo,./img/Astralglanz_TG12_Hoothoot.png,26.10.2025
Schwert & Schild,Astralglanz,Bronzong,437,0437 Bronzong,TG11,TG11,1.9,Trainer Gallery Rare Holo,./img/Astralglanz_TG11_Bronzong.png,26.10.2025
Schwert & Schild,Astralglanz,Galar-Barrikadax,862,0862 Barrikadax,TG10,TG10,1.2,Trainer Gallery Rare Holo,./img/Astralglanz_TG10_Galar-Barrikadax.png,26.10.2025
Schwert & Schild,Astralglanz,Magnayen,262,0262 Magnayen,TG09,TG09,2.25,Trainer Gallery Rare Holo,./img/Astralglanz_TG09_Magnayen.png,26.10.2025
Schwert & Schild,Astralglanz,Axantor,900,0900 Axantor,TG08,TG08,1.5,Trainer Gallery Rare Holo,./img/Astralglanz_TG08_Axantor.png,26.10.2025
Schwert & Schild,Astralglanz,Legios,870,0870 Legios,TG07,TG07,1.5,Trainer Gallery Rare Holo,./img/Astralglanz_TG07_Legios.png,26.10.2025
Schwert & Schild,Astralglanz,Damythir,899,0899 Damythir,TG06,TG06,1.25,Trainer Gallery Rare Holo,./img/Astralglanz_TG06_Damythir.png,26.10.2025
Schwert & Schild,Astralglanz,Guardevoir,282,0282 Guardevoir,TG05,TG05,3.8,Trainer Gallery Rare Holo,./img/Astralglanz_TG05_Guardevoir.png,26.10.2025
Schwert & Schild,Astralglanz,Mottineva,873,0873 Mottineva,TG04,TG04,2.0,Trainer Gallery Rare Holo,./img/Astralglanz_TG04_Mottineva.png,26.10.2025
Schwert & Schild,Astralglanz,Seedraking,230,0230 Seedraking,TG03,TG03,6.0,Trainer Gallery Rare Holo,./img/Astralglanz_TG03_Seedraking.png,26.10.2025
Schwert & Schild,Astralglanz,Drapfel,841,0841 Drapfel,TG02,TG02,1.2,Trainer Gallery Rare Holo,./img/Astralglanz_TG02_Drapfel.png,26.10.2025
Schwert & Schild,Astralglanz,Rexblisar,460,0460 Rexblisar,TG01,TG01,1.2,Trainer Gallery Rare Holo,./img/Astralglanz_TG01_Rexblisar.png,26.10.2025
Schwert & Schild,Astralglanz,Ur-Dialga V,483,0483 Dialga,177,177,38.5,Rare Ultra,./img/Astralglanz_177_Ur-Dialga V.png,26.10.2025
Schwert & Schild,Astralglanz,Hisui-Snieboss V,903,0903 Snieboss,175,175,21.85,Rare Ultra,./img/Astralglanz_175_Hisui-Snieboss V.png,26.10.2025
Schwert & Schild,Astralglanz,Machomei V,68,0068 Machomei,172,172,109.99,Rare Ultra,./img/Astralglanz_172_Machomei V.png,26.10.2025
Schwert & Schild,Astralglanz,Ur-Palkia V,484,0484 Palkia,167,167,59.0,Rare Ultra,./img/Astralglanz_167_Ur-Palkia V.png,26.10.2025
Schwert & Schild,Astralglanz,Hisui-Dressella V,549,0549 Dressella,163,163,15.5,Rare Ultra,./img/Astralglanz_163_Hisui-Dressella V.png,26.10.2025
Schwert & Schild,Astralglanz,Bibor V,15,0015 Bibor,161,161,27.0,Rare Ultra,./img/Astralglanz_161_Bibor V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Nachtara V,197,0197 Nachtara,TG22,TG22,40.0,Rare Holo V,./img/StrahlendeSterne_TG22_Nachtara V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Mimigma V,778,0778 Mimigma,TG16,TG16,27.0,Rare Holo V,./img/StrahlendeSterne_TG16_Mimigma V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Kommandutan,765,0765 Kommandutan,TG12,TG12,0.8,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG12_Kommandutan.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Evoli,133,0133 Evoli,TG11,TG11,7.5,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG11_Evoli.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Ariados,168,0168 Ariados,TG09,TG09,0.85,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG09_Ariados.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Pokusan,869,0869 Pokusan,TG08,TG08,0.7,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG08_Pokusan.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Dedenne,702,0702 Dedenne,TG07,TG07,2.25,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG07_Dedenne.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Zwirrfinst,477,0477 Zwirrfinst,TG06,TG06,1.45,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG06_Zwirrfinst.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Zekrom,644,0644 Zekrom,TG05,TG05,9.9,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG05_Zekrom.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Blitza,135,0135 Blitza,TG04,TG04,7.4,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG04_Blitza.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Octillery,224,0224 Octillery,TG03,TG03,0.8,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG03_Octillery.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Aquana,134,0134 Aquana,TG02,TG02,10.0,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG02_Aquana.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Flamara,136,0136 Flamara,TG01,TG01,10.0,Trainer Gallery Rare Holo,./img/StrahlendeSterne_TG01_Flamara.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Arceus V,493,0493 Arceus,166,166,37.5,Rare Ultra,./img/StrahlendeSterne_166_Arceus V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Kramshef V,430,0430 Kramshef,162,162,9.0,Rare Ultra,./img/StrahlendeSterne_162_Kramshef V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Lumineon V,457,0457 Lumineon,156,156,10.0,Rare Ultra,./img/StrahlendeSterne_156_Lumineon V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Glurak V,6,0006 Glurak,154,154,140.0,Rare Ultra,./img/StrahlendeSterne_154_Glurak V.png,26.10.2025
Schwert & Schild,Strahlende Sterne,Kingler V,99,0099 Kingler,028,028,0.5,Rare Holo V,./img/StrahlendeSterne_028_Kingler V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Gengar VMAX,94,0094 Gengar,271,271,480.0,Special Illustration Rare,./img/FusionsAngriff_271_Gengar VMAX.png,26.10.2025
Schwert & Schild,Fusions Angriff,Schlaraffel V,820,0820 Schlaraffel,257,257,9.5,Rare Ultra,./img/FusionsAngriff_257_Schlaraffel V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Genesect V,649,0649 Genesect,255,255,16.0,Rare Ultra,./img/FusionsAngriff_255_Genesect V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Sanaconda V,844,0844 Sanaconda,252,252,5.99,Rare Ultra,./img/FusionsAngriff_252_Sanaconda V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Mew V,151,0151 Mew,251,251,63.99,Rare Ultra,./img/FusionsAngriff_251_Mew V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Fruyal V,763,0763 Fruyal,246,246,1.5,Rare Ultra,./img/FusionsAngriff_246_Fruyal V.png,26.10.2025
Schwert & Schild,Fusions Angriff,Celebi V,251,0251 Celebi,245,245,60.0,Rare Ultra,./img/FusionsAngriff_245_Celebi V.png,26.10.2025
Schwert & Schild,Drachenwandel,UHaFnir V,715,0715 UHaFnir,196,196,46.9,Rare Ultra,./img/Drachenwandel_196_UHaFnir V.png,26.10.2025
Schwert & Schild,Drachenwandel,Rayquaza V,384,0384 Rayquaza,194,194,155.0,Rare Ultra,./img/Drachenwandel_194_Rayquaza V.png,26.10.2025
Schwert & Schild,Drachenwandel,Dragoran V,149,0149 Dragoran,192,192,225.0,Rare Ultra,./img/Drachenwandel_192_Dragoran V.png,26.10.2025
Schwert & Schild,Drachenwandel,Nachtara V,197,0197 Nachtara,189,189,179.99,Rare Ultra,./img/Drachenwandel_189_Nachtara V.png,26.10.2025
